"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"C:\Users\saqla\Desktop\MCP_NetLogo\models\Ebola_Mongbwalu_InformationTrust.nlogox"
"mcp-experiment"
"06/21/2026 19:03:10:308 +0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-24","24","-24","24"
"[run number]","rcce-intensity","[step]","attack-rate","cum-deaths","current-cfr","cum-unsafe-burials","cum-safe-burials"
"6","0","102","99.1","604","76.2","558","46"
"3","0","104","99.6","624","78.3","584","40"
"4","0","101","99.9","631","79","594","37"
"1","0","109","99.8","613","76.8","577","36"
"2","0","108","99.8","606","75.9","553","53"
"5","0","117","99.6","619","77.7","578","41"
"7","0","112","99","602","76","564","38"
"8","0","116","99.5","591","74.2","549","42"
"10","0.3","141","96.9","559","72.1","378","181"
"9","0.3","151","97","551","71","378","173"
"11","0.3","143","97.5","576","73.8","414","162"
"12","0.3","164","96.9","535","69","376","159"
"13","0.3","146","97.9","570","72.8","418","152"
"14","0.3","150","97.4","552","70.9","383","169"
"15","0.3","133","97.4","534","68.5","394","140"
"16","0.3","136","96.8","553","71.4","360","193"
"17","0.6","147","96.1","534","69.4","277","257"
"18","0.6","150","97.3","536","68.9","267","269"
"19","0.6","150","94.8","527","69.5","275","252"
"20","0.6","159","96.9","543","70.1","286","257"
"21","0.6","143","94","511","68","262","249"
"22","0.6","149","95.6","512","66.9","269","243"
"23","0.6","131","95.4","517","67.8","278","239"
"24","0.6","180","92","484","65.8","247","237"
"26","0.9","164","93.5","506","67.6","197","309"
"27","0.9","177","88.9","451","63.4","158","293"
"25","0.9","202","87.4","458","65.5","140","318"
"28","0.9","169","89.8","461","64.2","147","314"
"29","0.9","182","91","472","64.8","166","306"
"30","0.9","167","88.9","455","64","159","296"
"31","0.9","146","91.6","500","68.2","163","337"
"32","0.9","176","86.4","431","62.4","145","286"
